,Target,Date,Tweet Ago,Compound,Positive,Negative,Neutral,Text,Source
0,BBC,2018-03-23 19:07:00,1,0.0,0.0,0.0,1.0,"RT @BBCOne: .@GaryLineker, @OreOduba, @ThisisDavina &amp; more kick off the biggest ever night of #SportRelief now on @bbcone. @sportrelief 
Fo…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1,BBC,2018-03-23 18:03:04,2,-0.296,0.0,0.136,0.864,From @taylorswift13 to @Beyonce: these are the secretive musicians who avoid interviews. ?? https://t.co/nqOmaVMzoo https://t.co/sbDga7L5cp,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
2,BBC,2018-03-23 17:33:03,3,0.0,0.0,0.0,1.0,"Tonight, @GaryLineker, @ThisisDavina and @OreOduba kick off the biggest ever night of @sportrelief! ??????… https://t.co/tgbpC76heP","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
3,BBC,2018-03-23 17:02:01,4,0.0,0.0,0.0,1.0,"Your week, as told by @louistheroux. ??
https://t.co/Ae6bDBpIBW","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
4,BBC,2018-03-23 16:27:45,5,0.0,0.0,0.0,1.0,"RT @BBCWales: A #DanceForParkinsons session with @ndcwales for @GetCreativeUK in #Cardiff this week 

Find out what’s happening on the fina…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
5,BBC,2018-03-23 16:00:12,6,0.7783,0.286,0.0,0.714,"Meet Australian maths teacher Eddie Woo, who has won fans worldwide with his high-energy lessons, posted on YouTube… https://t.co/vTfNDZzA3b","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
6,BBC,2018-03-23 14:33:40,7,-0.4479,0.0,0.172,0.828,"RT @BBCOne: No @andy_murray, this is not a dream. @GeriHalliwell really IS in your bedroom making you sing Spice Girls songs ?

@sportrelie…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
7,BBC,2018-03-23 14:03:08,8,0.5994,0.187,0.0,0.813,These beautiful photographs reveal how refugees in Tyneside have turned to the healing powers of gardening. ??… https://t.co/2gq0t9FnIR,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
8,BBC,2018-03-23 14:00:02,9,-0.4767,0.0,0.129,0.871,"How would you react if you woke up and found Michael McIntyre and Peppa Pig in your bedroom? 

Poor @AndyMurray…

S… https://t.co/7ZP0hUYeKr","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
9,BBC,2018-03-23 13:33:04,10,0.6114,0.2,0.0,0.8,Spring is here! ??? Make the most of seasonal ingredients with these delicious soup recipes. https://t.co/fXp7eJXoJc https://t.co/hA1b2bdSrd,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
10,BBC,2018-03-23 13:03:02,11,0.4939,0.259,0.0,0.741,"Want to get creative this weekend? Here's how to make a hooky rug. 
#MakeCraftBritain 
https://t.co/uqibyP09s7","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
11,BBC,2018-03-23 11:42:55,12,0.0,0.0,0.0,1.0,RT @BBCSport: He was one of English football's first black players and the British Army's first ever black officer to command white troops.…,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
12,BBC,2018-03-23 11:42:51,13,-0.2006,0.107,0.139,0.754,RT @BBCRadio2: ? “I thought the script was really frightening and original.” Martin Freeman chats to @achrisevans about his creepy new film…,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
13,BBC,2018-03-23 11:42:48,14,0.0,0.0,0.0,1.0,RT @BBCTwo: Our entire weekend plans. ?? #BigCatsAboutTheHouse https://t.co/vl0zUcCdmI,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
14,BBC,2018-03-23 11:42:43,15,0.3612,0.128,0.0,0.872,"RT @sportrelief: It looks like #TeamGryffindor are storming ahead in the #HogwartsLeague in the #SportRelief app. 

#TeamHufflepuff, #TeamS…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
15,BBC,2018-03-23 11:30:05,16,0.2648,0.103,0.0,0.897,???Some blueberry muffins sold by cafes and supermarkets contain more than the recommended daily intake of sugar fo… https://t.co/9bh6K8aMH2,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
16,BBC,2018-03-23 10:33:01,17,-0.6016,0.0,0.187,0.813,"Friday night is CELEBRITY FIGHT NIGHT! ??

Who'll be victorious? Tune in to #SportRelief to find out!

https://t.co/9ZhgNGmxOD","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
17,BBC,2018-03-23 10:03:03,18,0.8555,0.343,0.0,0.657,"Scrolling through headlines, the world can feel like a pretty dark place. So here are nine reasons to be happy. ? ?… https://t.co/KrNoB0qaqC","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
18,BBC,2018-03-23 09:30:03,19,0.765,0.417,0.0,0.583,"Would you want secret helpers like these to help you out in nerve-wracking situations? #TheSecretHelpers 
https://t.co/ua2X4vxKR3","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
19,BBC,2018-03-23 08:33:01,20,0.0,0.0,0.0,1.0,"Meet the first polar bear cub to be born in the UK in 25 years. ?
https://t.co/njq1r6eONE","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
20,BBC,2018-03-23 19:07:00,21,0.0,0.0,0.0,1.0,"RT @BBCOne: .@GaryLineker, @OreOduba, @ThisisDavina &amp; more kick off the biggest ever night of #SportRelief now on @bbcone. @sportrelief 
Fo…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
21,BBC,2018-03-23 18:03:04,22,-0.296,0.0,0.136,0.864,From @taylorswift13 to @Beyonce: these are the secretive musicians who avoid interviews. ?? https://t.co/nqOmaVMzoo https://t.co/sbDga7L5cp,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
